WAVE,FLUX,ERR,CONT,Z,Transitions,SplineRanges
1272.1831,1.21248,0.15199472,0.99893901,,,
1272.2814,1.01856,0.14215612,1.0019472,,,
1272.3797,0.793281,0.12407369,0.99822776,,,
1272.478,0,0,0.99173641,,,
1272.5763,0.393641,0.088659176,0.98524356,,,
1272.6746,1.0915,0.14568173,0.98441474,,,
1272.7729,0.934086,0.1377593,0.9904052,,,
1272.8712,1.09386,0.14595908,0.99639699,,,
1272.9695,1.08137,0.14533886,1.001303,,,
1273.0679,1.0682,0.1445645,0.99614554,,,
1273.1662,1.09072,0.14570447,0.99098692,,,
1273.2645,0.920227,0.13653993,0.98582711,,,
1273.3628,0.980393,0.12924654,0.97656453,,,
1273.4611,0.996171,0.10016247,0.9658581,,,
1273.5594,1.01883,0.10106515,0.95514923,,,
1273.6577,1.04082,0.10178867,0.95406005,,,
1273.756,1.04534,0.10186303,0.96843277,,,
1273.8543,1.09629,0.10374445,0.98280869,,,
1273.9526,1.0841,0.10334384,0.99689212,,,
1274.0509,0.999867,0.10022293,1.0004425,,,
1274.1493,0.838582,0.094130343,1.0039937,,,
1274.2476,0.958953,0.098634706,1.0075457,,,
1274.3459,0.936328,0.09783116,1.0102332,,,
1274.4442,0.947797,0.098323968,1.0124945,,,
1274.5425,1.04633,0.10212315,1.0147562,,,
1274.6408,0.753451,0.090636763,1.0164979,,,
1274.7391,0.953202,0.098477328,1.0170994,,,
1274.8374,1.19212,0.10702454,1.017701,,,
1274.9357,0.878198,0.095665366,1.0183028,,,
1275.034,0.919536,0.097245121,1.018583,,,
1275.1323,0.999569,0.10041561,1.0188488,,,
1275.2307,0.908728,0.096904256,1.0191147,,,
1275.329,0.993145,0.10024833,1.0187591,,,
1275.4273,1.03887,0.10187723,1.0177762,,,
1275.5256,1.00642,0.10072434,1.016793,,,
1275.6239,0.926583,0.097641943,1.0154769,,,
1275.7222,0.965287,0.099123787,1.0121411,,,
1275.8205,1.16745,0.1064939,1.0088044,,,
1275.9188,1.13695,0.1052687,1.005467,,,
1276.0171,0.977485,0.1330266,1.0064896,,,
1276.1154,1.07757,0.14530573,1.0087062,,,
1276.2137,1.06439,0.11200833,1.0109233,,,
1276.312,1.01639,0.10103356,1.0106477,,,
1276.4104,0.982463,0.099980334,1.0070332,,,
1276.5087,0.865551,0.095312928,1.0034179,,,
1276.607,1.05041,0.10243915,0.99929864,,,
1276.7053,1.06246,0.10292767,0.98861638,,,
1276.8036,0.982671,0.099947856,0.9779317,,,
1276.9019,1.07998,0.10354494,0.96724461,,,
1277.0002,1.1496,0.10591777,0.96965038,,,
1277.0985,1.08553,0.10374403,0.97731153,,,
1277.1968,0.95573,0.13300975,0.98497437,,,
1277.2951,1.06339,0.12641355,0.9907245,,,
1277.3934,0.944037,0.098523021,0.99303256,,,
1277.4918,1.07336,0.10613914,0.99534111,,,
1277.5901,0.999464,0.10535206,0.99765072,,,
