WAVE,FLUX,ERR,CONT,Z,Transition,SplineRanges
1325.7105,1.02436,0.088453393,0.90999634,,,
1325.8087,0.956198,0.086268567,0.8976172,,,
1325.907,0.870837,0.083488017,0.90308855,,,
1326.0052,0.989351,0.087218671,0.91085795,,,
1326.1034,1.0225,0.088234608,0.91862828,,,
1326.2016,0.925196,0.085306365,0.92313566,,,
1326.2998,0.984798,0.087150702,0.92074656,,,
1326.398,0.961305,0.086426058,0.91835715,,,
1326.4962,1.06558,0.089589447,0.91596745,,,
1326.5944,0.915128,0.084994818,0.91080387,,,
1326.6926,1.01159,0.087977773,0.90518677,,,
1326.7909,0.972003,0.086782464,0.89956899,,,
1326.8891,1.05166,0.089114024,0.89523298,,,
1326.9873,0.896082,0.084387082,0.89283595,,,
1327.0855,1.06657,0.089595935,0.89043861,,,
1327.1837,0.813982,0.081527836,0.88804098,,,
1327.2819,0.969957,0.086661258,0.88811986,,,
1327.3801,0.928395,0.085505839,0.88868985,,,
1327.4783,0.916177,0.084941366,0.88925989,,,
1327.5765,0.835095,0.082219812,0.8940235,,,
1327.6748,0.958795,0.086323756,0.90587645,,,
1327.773,0.862273,0.083219433,0.91773081,,,
1327.8712,0.921097,0.085106026,0.92958659,,,
1327.9694,0.897225,0.084338098,0.93129204,,,
1328.0676,0.800223,0.081098863,0.93058824,,,
1328.1658,0.839935,0.08243671,0.92988433,,,
1328.264,0.831808,0.082075659,0.92881167,,,
1328.3622,0.834333,0.082157005,0.92704382,,,
1328.4604,0.934162,0.085367012,0.92527575,,,
1328.5587,0.881478,0.083654535,0.92350746,,,
1328.6569,0.803179,0.08226339,0.92375171,,,
1328.7551,0.797839,0.084750823,0.92455353,,,
1328.8533,0.670268,0.080040969,0.92535544,,,
1328.9515,1.01163,0.09236479,0.92663192,,,
1329.0497,0.881209,0.086899449,0.9289157,,,
1329.1479,0.937864,0.08681678,0.93119973,,,
1329.2461,0.960584,0.086366282,0.93348403,,,
1329.3443,0.942301,0.085777234,0.93357217,,,
1329.4426,0.895333,0.084454088,0.93295422,,,
1329.5408,0.85179,0.083009009,0.93233619,,,
1329.639,0.871302,0.08369424,0.92978297,,,
1329.7372,0.907673,0.084826542,0.92260798,,,
1329.8354,0.845515,0.082700779,0.91543211,,,
1329.9336,0.896805,0.084496595,0.90825537,,,
1330.0318,0.848617,0.082764449,0.90023914,,,
1330.13,0.833932,0.082383392,0.89205447,,,
1330.2282,0.863297,0.083478918,0.88386881,,,
1330.3264,0.77492,0.080408621,0.88146742,,,
1330.4247,0.909951,0.084905607,0.89480348,,,
1330.5229,0.914092,0.085000191,0.90814113,,,
1330.6211,0.926179,0.085485629,0.92148037,,,
1330.7193,0.867439,0.083540879,0.92433479,,,
1330.8175,0.865691,0.083555893,0.92468495,,,
1330.9157,1.01169,0.087890624,0.92503513,,,
1331.0139,1.03877,0.088882935,0.92381283,,,
1331.1121,0.968263,0.086765071,0.91770995,,,
1331.2103,0.94505,0.085704555,0.91160634,,,
1331.3086,0.957717,0.086365701,0.90550198,,,
1331.4068,1.03763,0.088858201,0.89842434,,,
1331.505,0.880395,0.083893812,0.89107488,,,
1331.6032,0.9145,0.085101148,0.88372454,,,
1331.7014,0.944065,0.085965581,0.87986879,,,
1331.7996,0.927688,0.0856392,0.88859966,,,
1331.8978,0.879306,0.08413584,0.89733155,,,
1331.996,0.942997,0.08609989,0.90606448,,,
1332.0942,0.856294,0.083235202,0.90277228,,,
1332.1925,0.918469,0.085266835,0.89559305,,,
1332.2907,0.854903,0.083265436,0.88841295,,,
1332.3889,0.882527,0.084186283,0.88514539,,,
1332.4871,0.837523,0.082735781,0.89832042,,,
1332.5853,0.863623,0.083495076,0.91149702,,,
1332.6835,0.923832,0.085435363,0.92467519,,,
1332.7817,0.819556,0.081930666,0.92663897,,,
1332.8799,0.772531,0.080586004,0.9244683,,,
1332.9781,0.900114,0.084785457,0.92229736,,,
1333.0764,0.821191,0.08216118,0.92075575,,,
1333.1746,0.63609,0.07539563,0.92237944,,,
1333.2728,0.630242,0.07550286,0.92400331,,,
1333.371,0.695109,0.079953443,0.92562736,,,
1333.4692,0.515253,0.07283327,0.92676348,,,
1333.5674,0.398039,0.067788851,0.92757753,,,
1333.6656,0.396474,0.067653358,0.92839167,,,
1333.7638,0.252808,0.059365252,0.92832256,,,
1333.862,0.355828,0.063847749,0.92286299,,,
1333.9603,0.308557,0.061613698,0.91740276,,,
1334.0585,0.502239,0.070417424,0.91194187,,,
1334.1567,0.487881,0.06975113,0.86362894,,,
1334.2549,0.627827,0.07520804,0.78393152,,,
1334.3531,0.702224,0.078116268,0.70422459,,,
1334.4513,0.607928,0.074552665,0.64088495,,,
1334.5495,0.608869,0.074583309,0.70271221,,,
1334.6477,0.698048,0.077980198,0.76454683,,,
1334.7459,0.601664,0.074337716,0.82638881,,,
1334.8441,0.577837,0.073561175,0.85715226,,,
1334.9424,0.701278,0.07815391,0.86258102,,,
1335.0406,0.688918,0.0777517,0.86801042,,,
1335.1388,0.615639,0.075020192,0.87368991,,,
1335.237,0.755494,0.080127277,0.88191256,,,
1335.3352,0.702763,0.078295084,0.89013619,,,
1335.4334,0.758715,0.080426414,0.89836078,,,
1335.5316,0.753462,0.080219936,0.87004553,,,
1335.6298,0.891669,0.08468795,0.80877579,,,
1335.728,0.844111,0.083193863,0.74749874,,,
1335.8263,0.851198,0.083295207,0.6862144,,,
1335.9245,0.921959,0.085726749,0.72480857,,,
1336.0227,1.00082,0.087995699,0.76731745,,,
1336.1209,0.941244,0.086042048,0.80983138,,,
1336.2191,0.992588,0.087785735,0.83766406,,,
1336.3173,0.924575,0.085608103,0.8507833,,,
1336.4155,0.957303,0.086570286,0.86390408,,,
1336.5137,0.936889,0.086085641,0.87702642,,,
1336.6119,0.988036,0.087686642,0.87941426,,,
1336.7102,0.905805,0.085189115,0.88106804,,,
1336.8084,0.982058,0.088999071,0.88272202,,,
1336.9066,1.07066,0.094697946,0.88711753,,,
1337.0048,1.02607,0.093601798,0.89455102,,,
1337.103,1.03586,0.094344862,0.90198538,,,
1337.2012,0.990069,0.091654063,0.90942062,,,
1337.2994,0.940243,0.087007296,0.91027316,,,
1337.3976,0.983966,0.08768779,0.91048165,,,
1337.4958,0.981515,0.087666844,0.91069015,,,
1337.5941,0.874074,0.084212986,0.91026472,,,
1337.6923,0.882311,0.084564194,0.90864159,,,
1337.7905,0.957955,0.087037126,0.90701825,,,
1337.8887,0.950845,0.086809274,0.90539471,,,
1337.9869,0.908287,0.085411299,0.90301233,,,
1338.0851,0.946044,0.086907859,0.90041892,,,
1338.1833,0.967264,0.087306321,0.89782519,,,
1338.2815,0.923403,0.086103209,0.87137656,,,
1338.3797,0.988963,0.088170746,0.79446848,,,
1338.4779,0.896449,0.085339222,0.71755127,,,
1338.5762,0.776406,0.081361588,0.64062494,,,
1338.6744,0.917853,0.085814153,0.68638603,,,
1338.7726,0.999208,0.088622842,0.77143155,,,
1338.8708,0.976005,0.087762671,0.85648713,,,
1338.969,0.894872,0.085341666,0.91753099,,,
1339.0672,0.901821,0.085489064,0.92142394,,,
1339.1654,0.941862,0.086825688,0.92531734,,,
1339.2636,0.902173,0.085445839,0.92921118,,,
1339.3618,0.871196,0.084620354,0.91574959,,,
1339.4601,0.8599,0.084318642,0.8959046,,,
1339.5583,0.934921,0.086642228,0.87605725,,,
1339.6565,0.994346,0.088522992,0.86241022,,,
1339.7547,1.05475,0.090274181,0.87955782,,,
1339.8529,0.826964,0.083052999,0.89670744,,,
1339.9511,0.897667,0.085436018,0.91385908,,,
1340.0493,0.942577,0.086916054,0.91530999,,,
1340.1475,1.02412,0.089441216,0.90647135,,,
1340.2457,0.866183,0.084613878,0.89763165,,,
1340.344,0.905999,0.085733167,0.89095623,,,
1340.4422,1.03744,0.089868092,0.89730542,,,
1340.5404,0.913068,0.086207156,0.90365535,,,
1340.6386,1.02258,0.08957454,0.91000602,,,
1340.7368,0.827715,0.083264978,0.91194135,,,
1340.835,1.01915,0.089407689,0.91064978,,,
1340.9332,0.945578,0.087167917,0.90935806,,,
1341.0314,0.936072,0.086898954,0.90798328,,,
1341.1296,1.00851,0.089198186,0.90088768,,,
1341.2279,0.949686,0.087374845,0.89379123,,,
1341.3261,0.881116,0.085084748,0.88669393,,,
1341.4243,0.887103,0.08551244,0.88548706,,,
1341.5225,0.922431,0.087088404,0.89145855,,,
1341.6207,0.874508,0.087679237,0.89743074,,,
1341.7189,0.974654,0.09052894,0.90340362,,,
1341.8171,0.789091,0.084398508,0.8981154,,,
1341.9153,0.930131,0.088896547,0.89270335,,,
1342.0135,0.88991,0.086068556,0.88729065,,,
1342.1118,0.774924,0.081662813,0.87059781,,,
1342.21,0.885243,0.085487823,0.83868321,,,
1342.3082,0.845486,0.08419208,0.80676484,,,
1342.4064,0.785747,0.082336543,0.77484269,,,
1342.5046,0.880276,0.085315019,0.79809653,,,
1342.6028,0.737793,0.080596065,0.83026839,,,
1342.701,0.866909,0.08485488,0.86244402,,,
1342.7992,0.870739,0.08509799,0.88231961,,,
1342.8974,0.794357,0.082534453,0.87312834,,,
1342.9956,0.750134,0.081171676,0.86393598,,,
1343.0939,0.849022,0.084535854,0.85474253,,,
1343.1921,0.818112,0.083519223,0.80012862,,,
1343.2903,0.858546,0.084750134,0.73658533,,,
1343.3885,0.776828,0.082063645,0.67303455,,,
1343.4867,0.789835,0.082500813,0.6489468,,,
1343.5849,0.758052,0.081484932,0.73034578,,,
1343.6831,0.742031,0.081004275,0.81175433,,,
1343.7813,0.798225,0.0830445,0.89317245,,,
1343.8795,0.74569,0.081092833,0.91596101,,,
1343.9778,0.869994,0.085379582,0.9145127,,,
1344.076,0.951375,0.087902932,0.9130642,,,
1344.1742,0.953566,0.088084097,0.91237229,,,
